source1domefareceiver2domelabformat_2,,,,,,,,,,
source3domesireceiver2domelabformat_3,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.086,0.086,0.096,0.097,0.141,0.107,0.119,0.079,0.092
T30 [s],,0.078,0.075,0.104,0.093,0.068,0.061,0.078,0.074,0.348
T60,,0.082,0.0805,0.1,0.095,0.1045,0.084,0.0985,0.0765,0.22
STI male,,0.95 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source3domesireceiver4domedobformat_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.085,0.069,0.086,0.105,0.079,0.07,0.077,0.103,0.12
T30 [s],,0.077,0.095,0.077,0.094,0.065,0.069,0.066,0.165,0.434
T60,,0.081,0.082,0.0815,0.0995,0.072,0.0695,0.0715,0.134,0.277
STI male,,0.94 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source3domesireceiver4domedobformat_3,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.085,0.216,0.156,0.137,0.122,0.119,0.098,0.073,0.616
T30 [s],,0.217,0.186,0.168,0.148,0.148,0.164,0.154,0.093,0.678
T60,,0.151,0.201,0.162,0.1425,0.135,0.1415,0.126,0.083,0.647
STI male,,0.90 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source3domesireceiver5domemibformat_2,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.184,0.243,0.208,--,0.143,0.104,0.086,0.114,0.211
T30 [s],,0.125,0.172,0.174,--,0.142,0.098,0.087,0.069,0.459
T60,,0.1545,0.2075,0.191,T60,0.1425,0.101,0.0865,0.0915,0.335
STI male,,0.95 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source3domesireceiver5domemibformat_3,,,,,,,,,,
,,31.5,63,125,250,500,1000,2000,4000,8000
T20 [s],,0.179,0.253,0.179,0.173,0.157,0.101,0.138,0.078,0.124
T30 [s],,0.148,0.224,0.16,0.154,0.139,0.113,0.096,0.078,0.372
T60,,0.1635,0.2385,0.1695,0.1635,0.148,0.107,0.117,0.078,0.248
STI male,,0.90 (Excellent),,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
source4domedoreceiver1domefabformat_2,,,,,,,,,,
